442,450,2,72,25639,69,69,150
269,200,2,62,8216,71,52,150
504,615,2,69,8005,67,75,20
1061,560,2,71,5368,21,82,30
560,195,2,81,22714,93,91,110
1045,316,2,81,7427,95,84,25
1154,549,2,61,7008,42,55,180
198,614,2,62,33653,61,54,258
683,221,2,55,1754,44,45,10
180,375,2,81,1835,82,90,15
449,482,2,74,2434,54,84,45
710,457,2,76,2503,82,86,53
96,287,2,71,31876,57,89,150
678,192,2,72,2559,72,64,18
19,404,2,75,292,78,82,150
306,644,2,7,14873,91,83,33
50,354,2,75,14349,94,89,8
84,46,2,72,13452,79,86,110
757,291,2,78,13013,79,87,100
397,321,2,73,2848,56,75,20
83,461,2,71,12771,93,80,85
723,524,2,71,3094,45,74,300
422,213,2,76,12146,88,87,20
787,506,2,77,3305,89,73,65
305,341,2,58,3677,30,41,60
1250,429,2,77,3835,76,86,70
74,573,2,81,4022,91,84,25
268,73,2,52,1158,28,56,110
916,485,2,72,4698,47,82,61
864,581,3,62,31701,77,59,185
1111,416,3,78,3571,62,84,55
531,44,3,55,15264,49,81,58
1257,433,3,64,3606,42,69,45
829,344,3,55,4824,39,54,25
1040,416,3,82,14809,80,90,33
1382,228,3,52,10218,14,40,145
267,387,3,67,13457,73,72,75
191,613,3,68,13452,67,75,138
689,615,3,66,10111,27,72,80
724,445,3,69,10047,54,68,65
617,630,3,55,10002,36,50,80
31,322,3,64,22795,40,67,150
1227,432,3,62,5253,44,48,9
241,368,3,61,8017,16,50,83
825,291,3,71,3938,53,65,68
272,43,3,7,8003,77,67,25
794,389,3,9,53332,94,96,185
459,216,3,62,5801,26,81,18
492,108,3,7,7575,87,70,83
134,604,3,72,6288,85,75,30
257,208,3,5,6451,19,29,48
414,156,3,7,8734,68,74,26
401,334,3,78,903,63,84,13
736,496,3,77,6995,27,77,55
351,612,3,66,3145,64,70,24
584,171,3,57,7022,11,53,73
538,69,3,19,1417,2,28,20
355,453,3,79,3183,94,91,186
1307,114,3,52,19145,49,82,37
642,585,3,64,1437,53,76,66
1203,409,3,76,157,97,83,15
898,11,3,71,4272,36,70,48
536,601,3,67,2681,41,65,40
1269,238,3,71,2321,82,73,16
88,282,3,78,145,58,83,25
413,486,3,66,2485,23,37,21
440,426,3,7,11042,83,69,90
32,167,3,66,16837,64,62,230
432,239,3,66,4955,55,69,78
1209,256,4,76,1075,64,68,130
232,287,4,6,40208,20,76,210
1255,404,4,75,30196,83,75,250
1264,148,4,78,27731,79,87,35
244,262,4,76,20902,70,81,90
234,381,4,67,17988,37,72,150
202,318,4,58,16611,39,63,200
1000,327,4,67,16395,43,74,40
39,295,4,58,15017,33,62,175
392,269,4,66,12532,33,64,200
454,583,4,83,12052,88,87,70
997,466,4,8,11565,91,81,30
489,63,4,55,10918,12,47,60
1273,478,4,65,8892,14,68,38
221,354,4,74,8381,90,76,25
935,193,4,77,7559,90,87,24
179,405,4,64,6415,55,70,20
400,399,4,55,5872,11,56,30
258,75,4,67,4398,32,57,65
1184,634,4,7,4157,55,65,30
1193,122,4,77,3239,87,81,8
854,28,4,8,2577,94,91,140
29,392,4,78,76051,83,92,237
797,479,4,68,1033,28,49,40
734,22,4,27,935,15,28,30
747,146,4,66,458,30,68,35
519,373,4,51,162,42,37,16
283,557,4,56,65,25,52,19
1365,332,4,73,6,75,65,25
1197,45,4,64,,42,60,25
615,11,5,65,10298,40,58,82
820,100,5,68,8156,86,73,95
1027,116,5,72,1906,28,70,16
993,291,5,67,10522,42,59,200
284,246,5,76,1833,93,84,18
510,99,5,8,10695,88,86,13
384,130,5,65,33419,52,72,200
890,429,5,77,4804,76,83,30
1,260,5,78,9357,91,88,25
387,378,5,52,4017,19,36,26
628,620,5,69,9482,48,68,80
744,95,5,67,3236,48,55,30
1212,551,5,62,64,53,49,15
838,579,5,63,58,33,64,20
1127,492,5,64,52,64,52,40
199,389,5,88,29257,86,93,160
70,420,5,64,11831,62,62,110
860,39,5,64,3158,57,60,20
851,626,5,71,584,85,75,8
1350,580,5,75,3149,81,83,60
968,111,5,72,,94,73,2
1143,445,5,67,11922,78,57,100
259,44,5,43,9533,15,49,100
799,598,5,81,12797,68,73,80
1305,453,5,7,31206,74,80,200
173,208,5,42,,6,42,150
522,613,5,58,16319,28,48,125
1003,83,5,59,8876,50,57,95
607,433,5,59,6013,24,53,60
1376,252,5,66,5336,28,62,38
852,635,5,68,7721,47,71,100
570,316,5,76,17103,96,86,38
315,544,5,62,17659,66,75,40
75,54,5,66,9076,36,71,200
780,523,5,68,5399,67,65,2
1267,93,6,74,7924,69,73,27
715,352,6,71,6245,72,67,51
383,634,6,69,6109,55,57,30
340,236,6,71,241,83,68,21
1113,238,6,77,5682,93,84,17
972,561,6,59,5178,71,71,24
65,615,6,61,5509,32,57,60
1241,572,6,66,7564,84,63,60
886,642,6,73,8262,89,88,20
1134,301,6,71,8546,58,81,110
672,467,6,72,4,80,80,7
849,147,6,59,4258,61,56,40
81,364,6,68,4025,71,67,30
990,515,6,62,3818,58,57,40
975,574,6,67,3755,38,55,40
945,213,6,7,3737,72,70,40
675,256,6,61,3638,23,48,82
803,121,6,78,3505,93,79,15
336,503,6,77,3496,93,93,8
571,62,6,56,11659,27,48,200
1298,136,6,69,11753,69,72,35
1217,287,6,63,35236,35,67,195
140,28,6,71,12698,82,78,50
777,6,6,68,16908,90,77,33
1380,85,6,81,16971,75,91,25
115,156,6,56,2156,26,36,50
9,557,6,52,2127,22,34,90
389,433,6,58,2032,24,48,75
130,587,6,69,17664,78,75,140
1254,268,6,76,17674,83,87,93
1121,138,6,7,18102,77,80,150
764,638,6,73,20981,78,83,125
196,224,6,7,1377,37,54,15
1126,590,6,82,1365,83,93,25
1030,177,6,67,24106,34,61,250
247,483,6,74,1123,85,77,0
399,632,6,6,835,36,59,75
1144,209,6,63,692,28,46,25
