1,So Yong Kim
2,Robert Eggers
3,Patricia Riggen
4,Etan Cohen
5,Sam Taylor-Johnson
6,Paul Feig
7,Jon Hurwitz
8,Pedro Almod�var
9,Xavier Dolan
10,Oliver Stone
11,Sylvester Stallone
12,Kirk Jones
13,Eran Creevy
14,Courtney Hunt
15,Paolo Sorrentino
16,Antonio Campos
17,Breck Eisner
18,Justin Kurzel
19,James Bobin
20,Patrick Read Johnson
21,Jake Szymanski
22,James Wong
23,Tyler Shields
24,David Lynch
25,Oz Perkins
26,Jordan Vogt-Roberts
27,Gus Van Sant
28,J.J. Abrams
29,Patricia Rozema
30,John Krasinski
31,Sean Ellis
32,Terrence Malick
33,Duncan Jones
34,Lynne Ramsay
35,Rich Moore
36,Lasse Hallstr�m
37,Mario Van Peebles
38,Chris Evans
39,Jim Field Smith
40,Gareth Edwards
41,David Robert Mitchell
42,Walt Dohrn
43,Matt Reeves
44,Michael Patrick King
45,Ken Kwapis
46,Len Wiseman
47,Gregory Wilson
48,Greg McLean
49,Ross Katz
50,Wes Ball
51,Olivier Nakache
52,Olivier Assayas
53,Glenn Ficarra
54,Mike Newell
55,Joss Whedon
56,M�ns M�rlind
57,Ricardo de Montreuil
58,Brad Peyton
59,Carles Torrens
60,Sergei Bodrov
61,Doug Ellin
62,Martin Campbell
63,Peter Billingsley
64,Byron Howard
65,Tom McGrath
66,Andrew Dominik
67,Denzel Washington
68,Pete Travis
69,Jason Friedberg
70,David Bowers
71,Ivan Reitman
72,David Dobkin
73,Mark Steven Johnson
74,Lee Toland Krieger
75,Peter Jackson
76,S.S. Rajamouli
77,Atom Egoyan
78,Fran�ois Ozon
79,Rupert Sanders
80,Andy Fickman
81,Jodie Foster
82,Steven R. Monroe
83,Chris Columbus
84,James Mangold
85,Tate Taylor
86,Andrew Stanton
87,Mike Flanagan
88,J.A. Bayona
89,Billy Ray
90,John Hamburg
91,Greg Tiernan
92,Alexi Pappas
93,Neil Burger
94,David Frankel
95,Edward Zwick
96,Gregory Jacobs
97,David Twohy
98,Lana Wachowski
99,Darren Aronofsky
100,Tony Scott
101,Chris Renaud
102,Philippe Falardeau
103,Dan Trachtenberg
104,Alex Ranarivelo
105,Katie Holmes
106,Clay Kaytis
107,Jared Hess
108,Guillermo del Toro
109,Hannes Holm
110,Gilles Paquet-Brenner
111,Debra Granik
112,John Michael McDonagh
113,Alessandro Carloni
114,Catherine Hardwicke
115,Matt Brown
116,Allen Coulter
117,R.J. Cutler
118,David Slade
119,Ken Loach
120,Mateo Gil
121,Nicolas Winding Refn
122,Marc Webb
123,Ryan Coogler
124,Matteo Garrone
125,Denis Villeneuve
126,Gabor Csupo
127,James Gunn
128,John Madden
129,Gillies MacKinnon
130,Tim Burton
131,David Schwimmer
132,Garry Marshall
133,Jason Moore
134,Julia Ducournau
135,Tim Miller
136,Seth Gordon
137,Jackson Stewart
138,Kenneth Branagh
139,Ericson Core
140,Wes Anderson
141,Jeff Grace
142,Michael Dudok de Wit
143,Giuseppe Tornatore
144,Luca Guadagnino
145,Alex Proyas
146,Patrick Tatopoulos
147,Steven Quale
148,Todd Phillips
149,Ry�hei Kitamura
150,Tom Tykwer
151,Richard Curtis
152,Eric Summer
153,Stephen Frears
154,Jake Schreier
155,Bong Joon Ho
156,David Gordon Green
157,Michael Showalter
158,Ewan McGregor
159,J Blakeson
160,Mia Hansen-L�ve
161,Steven Brill
162,Srdjan Spasojevic
163,Michael Grandage
164,Scott Cooper
165,Chris Stokes
166,David Mackenzie
167,Marc Forster
168,David Leveaux
169,Levan Gabriadze
170,Simon West
171,Andy Tennant
172,Todd Haynes
173,Christopher McQuarrie
174,Anna Biller
175,Oriol Paulo
176,Noam Murro
177,Rob Marshall
178,Paul McGuigan
179,Ang Lee
180,Dan Kwan
181,Mel Gibson
182,Adam Leon
183,Tom Six
184,Baltasar Korm�kur
185,Marcus Dunstan
186,Henry Selick
187,Gaspar No�
188,Maren Ade
189,Larry Charles
190,Lenny Abrahamson
191,John Carney
192,Frank Darabont
193,Ruben Fleischer
194,Leslye Headland
195,Paul Greengrass
196,Damien Chazelle
197,Chan-wook Park
198,Ari Sandel
199,Simon Aboud
200,Robert Zemeckis
201,Evan Goldberg
202,Eleanor Coppola
203,Joey Curtis
204,James Lapine
205,Mark Osborne
206,Sean Anders
207,J.D. Dillard
208,M. Night Shyamalan
209,Michael Dowse
210,Taika Waititi
211,Josh Trank
212,Michael J. Gallagher
213,Greg Mottola
214,Nic Mathieu
215,Werner Herzog
216,Jon M. Chu
217,Akiva Schaffer
218,Asghar Farhadi
219,David Lowery
220,Colin Trevorrow
221,Eli Roth
222,Spike Jonze
223,Steven Shainberg
224,Lone Scherfig
225,Femi Oyeniran
226,Farren Blackburn
227,Brad Bird
228,Rob Cohen
229,Robert Stromberg
230,Travis Knight
231,Rawson Marshall Thurber
232,Miguel Arteta
233,John Erick Dowdle
234,Florian Gallenberger
235,Gary Michael Schultz
236,Tomas Alfredson
237,Shane Black
238,Woody Allen
239,Baz Luhrmann
240,Dominique Abel
241,Adam Shankman
242,Pascal Laugier
243,F. Gary Gray
244,Alfonso Gomez-Rejon
245,Mikael H�fstr�m
246,Danny Boyle
247,Tom Hooper
248,Brett Ratner
249,Dave Green
250,Luke Greenfield
251,Rolfe Kanefsky
252,Greg Berlanti
253,Gauri Shinde
254,Martin McDonagh
255,Afonso Poyart
256,Zack Snyder
257,Jocelyn Moorhouse
258,Ben Affleck
259,Andr� �vredal
260,David O. Russell
261,Shana Feste
262,Guy Ritchie
263,Stephen Fingleton
264,David Ayer
265,Fede Alvarez
266,Cedric Nicolas-Troyan
267,Makoto Shinkai
268,Rupert Wyatt
269,McG
270,Drake Doremus
271,Jeffrey G. Hunt
272,Lee Unkrich
273,Jennifer Kent
274,Jake Kasdan
275,William Oldroyd
276,David R. Ellis
277,Matthias Hoene
278,Stewart Hendler
279,Matt Ross
280,Hong-jin Na
281,Bill Condon
282,Pierre Morel
283,Babak Najafi
284,Kirsten Sheridan
285,Daniel Espinosa
286,James Watkins
287,Michael Bay
288,S. Craig Zahler
289,John Stockwell
290,Jean-Marc Vall�e
291,Ridley Scott
292,David Cronenberg
293,Kenneth Lonergan
294,Ilya Naishuller
295,Stephen Sommers
